
===== SHEET: xl/worksheets/sheet1.xml =====
ARTIST	ALBUM	TITLE	RELEASE DATE	ROLE	PERCENTAGE	IRSC	BMI REG	PUBLISHER	WORKS #	PUB IP NUMBER	sound exchange performing	sound exchange RO	CONTRACT	MASTERS	DIGITAL MASTER/LABEL																
CUBIC ZIRCONIA	HOES COME OUT AT NIGHT	HOE'S COME OUT AT NIGHT (FEAT. TIMMY WIGGINS - HOUSE OF BLOW)	9.21.2010	ARTIST/ MEMBER	66.67	USYBL1001955	RECONCILED	1.3268322E7				YES	NO	LOCKHART DYNASTY
CUBIC ZIRCONIA	HOES COME OUT AT NIGHT	HOE'S COME OUT AT NIGHT (BURT FOX REMIX)	9.21.2010	ARTIST/ MEMBER	66.67	USYBL1001956	RECONCILED	1.3268323E7				YES	NO	LOCKHART DYNASTY
CUBIC ZIRCONIA	NIGHT SLUGS ALL STARS VOL 1	RECLASH (DUB) BOK BOK, CUBIC ZIRCONIA	11.29.2010	COLLAB / ARTIST PRODUCER	50.0	GBQLP1000441	INCOMPLETE- NEED BOKS INFO					NO	NO	NIGHT SLUGS
CUBIC ZIRCONIA	SCION AV PRESENTS TROUBLE & BASS SOUNDS OF NYC	LUCID IN THE SKY	6.28.2011	ARTIST/ MEMBER	66.67	USYBL1100241	PENDING SOCIETY REVIEW	1.3265451E7		not there				TROUBLE & BASS
CUBIC ZIRCONIA	FOLLOW YOUR HEART	YELLOW SPACESHIPS PT. 2	9.20.2011	ARTIST/ MEMBER	66.0	USYBL1100481	PENDING SOCIETY REVIEW	1.3265452E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	DARKO	9.20.2011	ARTIST/ MEMBER	100.0	USYBL1100482	Reconciled	1.3265453E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	BLACK HOLE	9.20.2011	ARTIST/ MEMBER	85.0	USYBL1100483	PENDING SOCIETY REVIEW	1.3265454E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	SUMMERTIME	9.20.2011	ARTIST/ MEMBER	100.0	USYBL1100484	Reconciled	1.3265455E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	TREATS	9.20.2011	ARTIST/ MEMBER	100.0	USYBL1100485	Reconciled	1.3265456E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	TAKE ME HIGH	9.20.2011	ARTIST/ MEMBER	50.0	USYBL1100486	PENDING SOCIETY REVIEW	1.3265457E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	FREEBASE YOU	9.20.2011	ARTIST/ MEMBER	66.0	USYBL1100487	Reconciled	1.3265458E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	FOLLOW YOUR HEART	9.20.2011	ARTIST/ MEMBER	100.0	USYBL1100488	Reconciled	1.3265459E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	CHERRY NIGHTS FT. COLTRANE 	9.20.2011	ARTIST/ MEMBER	66.0	USYBL1100489	Reconciled	1.326546E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	RUNNIN IN AND OUT OF LOVE FT. DROP THE LIME	9.20.2011	ARTIST/ MEMBER	66.0	USYBL1100490	Reconciled	1.3265461E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	DON'T BE SCARED OF MY LOVE	9.20.2011	ARTIST/ MEMBER	50.0	USYBL1100491	PENDING SOCIETY REVIEW	1.3265462E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	I GOT WHAT YOU NEED FT. DAM FUNK	9.20.2011	ARTIST/ MEMBER	66.67	USYBL1100492	Reconciled	1.3265463E7		x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	FOLLOW YOUR HEART	NIGHT OR DAY FT. BILAL	9.20.2011	ARTIST/ MEMBER	50.0	USYBL1100493	NOT REGISTERED			x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	TAKE ME HIGH	TAKE ME HIGH- BART B MORE REMIX	11.22.2011	ARTIST/ MEMBER	50.0	USYBL1100910	NOT REGISTERED			x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	TAKE ME HIGH	TAKE ME HIGH- BART B MORE REMIX EDIT	11.22.2011	ARTIST/ MEMBER	50.0	USYBL1100911	NOT REGISTERED			x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	TAKE ME HIGH	TAKE ME HIGH	11.22.2011	ARTIST/ MEMBER	50.0	USYBL1100912	NOT REGISTERED			x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	TAKE ME HIGH	TAKE ME HIGH- INSTRUMENTAL 	11.22.2011	ARTIST/ MEMBER	50.0	USYBL1100913	NOT REGISTERED			x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	TAKE ME HIGH	TAKE ME HIGH- ACAPELLA	11.22.2011	ARTIST/ MEMBER	50.0	USYBL1100914	NOT REGISTERED			x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	DARKO	DARKO- TOMMY TRASH REMIX	7.24.2012	ARTIST/ MEMBER	50.0	QMSDU1200083	NOT ELIGIBLE FOR CURRENT PHASE	HOOKEMON SONGS	4.3838557E7	6.5762571E8	x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	DARKO	DARKO- TONY SENGHORE TRASHY 3AM REMIX	7.24.2012	ARTIST/ MEMBER	50.0	QMSDU1200084	NOT REGISTERED			x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	DARKO	DARKO- TONY SENGHORE DEEP REMIX	7.24.2012	ARTIST/ MEMBER	50.0	QMSDU1200085	NOT REGISTERED			x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	DARKO	DARKO- INSTRUMENTAL	7.24.2012	ARTIST/ MEMBER	50.0	QMSDU1200086	NOT REGISTERED			x		YES	NO	FOOLS GOLD
CUBIC ZIRCONIA	DARKO	DARKO- ACAPPELLA	7.24.2012	ARTIST/ MEMBER	50.0	QMSDU1200087	NOT REGISTERED			x		YES	NO	FOOLS GOLD
